"Permission","PermissionType","DisplayText","AdminConsentRequired","Severity"
"Policy.ReadWrite.TrustFramework","Delegated","Read and write your organization's trust framework policies","Yes","High"
"POP.AccessAsUser.All","Delegated","Read and write access to mailboxes via POP.","No","High"
"profile","Delegated","View users' basic profile","No","Low"
"RoleAssignmentSchedule.ReadWrite.Directory","Delegated","Read, update, and delete all active role assignments for your company's directory","Yes","High"
"RoleEligibilitySchedule.ReadWrite.Directory","Delegated","Read, update, and delete all eligible role assignments for your company's directory","Yes","High"
"RoleManagement.ReadWrite.Directory","Delegated","Read and write directory RBAC settings","Yes","High"
"Sites.FullControl.Al","Delegated","Have full control of all site collections","Yes","High"
"Sites.Manage.All","Delegated","Create, edit, and delete items and lists in all site collections","No","High"
"Sites.Read.All","Delegated","Read items in all site collections","No","High"
"Sites.ReadWrite.All","Delegated","Edit or delete items in all site collections","No","High"
"Sites.Selected","Delegated","Access selected Sites, on behalf of the signed-in user","No","High"
"SMTP.Send","Delegated","Send emails from mailboxes using SMTP AUTH.","No","High"
"Team.ReadBasic.All","Delegated","Read the names and descriptions of teams","No","Medium"
"user_impersonation","Delegated","Create and access protected content for users","No","High"
"User.Export.All","Delegated","Export user's data","Yes","High"
"User.Read","Delegated","Sign in and read user profile","No","Low"
"User.ReadBasic.All","Delegated","Read all users' basic profiles","No","Low"
"User.ReadWrite.All","Delegated","Read and write all users' full profiles","Yes","High"
