"Id","RecordType","Description"
"217","MicrosoftGraphDataConnectConsent","Events for consent actions performed by tenant admins for Microsoft Graph Data Connect applications."
"218","AttackSimAdmin","Events related to admin activities in Attack Simulation & Training in Microsoft Defender for Office 365."
"230","TeamsUpdates","Teams Updates App Events."
"231","PlannerRosterSensitivityLabel","Microsoft Planner roster sensitivity label events."
"237","DefenderExpertsforXDRAdmin","Microsoft Defender Experts Administrator action events."
"251","VfamCreatePolicy","Viva Access Management policy create events."
"252","VfamUpdatePolicy","Viva Access Management policy update events."
"253","VfamDeletePolicy","Viva Access Management policy delete events."
"261","CopilotInteraction","Copilot interaction events."
"275","OWAAuth","Access Token for Resource issued successfully events."
"280","VivaPulseResponse","Viva Pulse survey response events."
"281","VivaPulseOrganizer","Viva Pulse survey organizer events."
"282","VivaPulseAdmin","Viva Pulse admin events."
"283","VivaPulseReport","Viva Pulse report related events."
"287","ProjectForThewebAssignedToMeSettings","Microsoft Project for the web assigned to me tenant settings events."
"288","CloudPolicyService","Events from the Cloud Policy service."
"298","BackupPolicy","Events related to Microsoft 365 Backup Policies."
"299","RestoreTask","Events related to Microsoft 365 Backup Restore Tasks."
"300","RestoreItem","Events related to artifacts backed up with Microsoft 365 Backup."
"301","BackupItem","	Events related to items being restored using Microsoft 365 Backup."
"332","ComplianceSettingsChange","Microsoft Purview Compliance settings change events."
"337","CloudUpdateProfileConfig","Events from the Cloud Update's profile configuration."
"338","CloudUpdateTenantConfig","Events from the Cloud Update's tenant configuration."
"339","CloudUpdateDeviceConfig","Events from Cloud Update's managed devices configuration."
